freq_hz,level_dbuv
9000.000,45.488
9018.274,43.329
9036.586,46.187
9054.935,46.484
9073.321,41.850
9091.744,42.881
9110.205,45.162
9128.703,44.445
9147.239,44.917
9165.812,43.572
9184.424,46.337
9203.073,46.167
9221.759,45.021
9240.484,46.712
9259.247,45.649
9278.048,43.519
9296.887,45.477
9315.764,43.346
9334.680,46.279
9353.634,44.786
9372.626,44.563
9391.658,43.763
9410.727,46.801
9429.836,44.591
9448.983,44.146
9468.169,44.260
9487.394,45.668
9506.658,45.394
9525.962,45.463
9545.304,45.485
9564.686,48.215
9584.107,44.131
9603.567,43.955
9623.067,43.465
9642.607,45.746
9662.186,46.560
9681.805,44.564
9701.464,43.395
9721.163,43.413
9740.902,45.766
9760.681,45.907
9780.500,45.580
9800.359,43.639
9820.259,45.068
9840.199,44.877
9860.179,45.033
9880.200,46.070
9900.262,45.027
9920.364,45.748
9940.508,44.763
9960.692,45.110
9980.917,45.651
10001.183,42.302
10021.491,44.115
10041.839,43.867
10062.229,43.590
10082.661,44.165
10103.133,46.990
10123.648,43.206
10144.204,46.133
10164.802,41.885
10185.441,44.034
10206.123,44.823
10226.846,45.494
10247.612,45.687
10268.420,45.811
10289.270,43.977
10310.162,43.788
10331.097,45.894
10352.074,44.208
10373.094,42.466
10394.156,42.686
10415.262,43.021
10436.410,45.281
10457.601,44.706
10478.835,45.576
10500.112,43.781
10521.433,44.711
10542.796,45.451
10564.204,43.948
10585.654,45.167
10607.148,43.370
10628.686,43.841
10650.268,43.804
10671.893,42.495
10693.562,45.180
10715.276,43.643
10737.033,44.407
10758.834,45.149
10780.680,45.087
10802.570,45.430
10824.505,44.201
10846.484,43.674
10868.508,44.217
10890.576,41.638
10912.690,42.015
10934.848,42.207
10957.051,42.721
10979.299,44.949
11001.593,42.854
11023.931,43.690
11046.315,46.367
11068.745,43.711
11091.220,45.454
11113.741,42.773
11136.307,43.931
11158.919,42.733
11181.578,43.703
11204.282,45.583
11227.032,41.468
11249.828,44.920
11272.671,44.598
11295.560,43.260
11318.496,41.890
11341.478,44.312
11364.507,43.342
11387.583,44.555
11410.705,44.210
11433.874,46.731
11457.091,43.778
11480.355,42.517
11503.665,44.434
11527.024,44.492
11550.429,46.308
11573.882,45.462
11597.383,44.690
11620.931,46.453
11644.528,42.203
11668.172,43.074
11691.864,42.608
11715.604,43.460
11739.393,41.874
11763.230,45.086
11787.115,43.707
11811.049,41.702
11835.031,42.424
11859.062,44.543
11883.142,45.375
11907.270,47.222
11931.448,48.683
11955.675,44.676
11979.951,42.423
12004.276,40.588
12028.651,44.421
12053.075,42.684
12077.549,43.314
12102.072,42.992
12126.645,43.739
12151.269,45.663
12175.942,44.201
12200.665,43.689
12225.438,42.279
12250.262,41.249
12275.136,43.144
12300.061,43.829
12325.036,46.736
12350.062,44.109
12375.139,45.466
12400.266,43.088
12425.445,41.984
12450.675,42.328
12475.956,42.705
12501.288,47.264
12526.672,42.537
12552.108,45.186
12577.595,42.392
12603.133,45.321
12628.724,44.439
12654.367,43.565
12680.061,43.744
12705.808,42.754
12731.607,44.509
12757.459,43.060
12783.363,41.820
12809.319,41.729
12835.329,44.043
12861.391,46.286
12887.506,44.009
12913.674,43.556
12939.895,44.196
12966.170,45.821
12992.497,44.075
13018.879,43.060
13045.313,45.480
13071.802,44.389
13098.344,46.153
13124.940,43.982
13151.590,41.723
13178.295,41.486
13205.053,46.310
13231.866,46.419
13258.733,43.367
13285.655,43.034
13312.632,45.978
13339.663,41.862
13366.749,42.194
13393.890,44.648
13421.086,42.980
13448.338,43.596
13475.645,43.336
13503.007,44.131
13530.425,45.835
13557.898,43.721
13585.428,44.600
13613.013,40.282
13640.654,43.477
13668.351,42.199
13696.105,41.591
13723.915,42.129
13751.781,42.992
13779.704,44.985
13807.684,41.391
13835.720,43.555
13863.814,42.724
13891.964,42.968
13920.172,45.089
13948.437,44.339
13976.759,45.611
14005.139,43.216
14033.576,42.343
14062.071,43.091
14090.624,43.830
14119.235,43.718
14147.904,41.693
14176.632,43.566
14205.417,43.779
14234.261,47.435
14263.164,46.403
14292.125,42.028
14321.145,42.926
14350.224,41.038
14379.362,42.427
14408.560,43.870
14437.816,45.287
14467.132,42.184
14496.508,42.297
14525.943,39.901
14555.438,43.069
14584.993,41.623
14614.607,42.469
14644.282,41.906
14674.017,43.151
14703.813,40.482
14733.669,40.940
14763.586,46.687
14793.563,41.213
14823.601,41.511
14853.701,46.198
14883.861,47.900
14914.083,41.371
14944.366,42.649
14974.710,43.778
15005.116,45.990
15035.584,41.638
15066.114,42.817
15096.706,44.447
15127.360,43.891
15158.076,42.587
15188.854,42.968
15219.695,40.975
15250.599,42.787
15281.565,42.734
15312.594,43.525
15343.686,42.258
15374.842,43.894
15406.060,44.753
15437.342,43.374
15468.688,43.681
15500.097,43.196
15531.570,43.104
15563.106,41.943
15594.707,43.597
15626.372,42.927
15658.102,46.425
15689.895,45.586
15721.754,43.679
15753.677,41.834
15785.664,41.268
15817.717,44.947
15849.835,43.454
15882.018,43.795
15914.267,40.228
15946.580,44.497
15978.960,43.733
16011.405,41.222
16043.916,42.237
16076.493,43.406
16109.137,43.061
16141.846,42.503
16174.622,42.798
16207.465,42.553
16240.374,43.193
16273.350,45.297
16306.393,38.828
16339.503,42.549
16372.680,43.203
16405.925,43.388
16439.237,42.312
16472.617,40.089
16506.065,43.418
16539.580,45.650
16573.164,40.425
16606.816,44.254
16640.536,42.339
16674.324,42.759
16708.182,41.166
16742.107,42.308
16776.102,44.916
16810.166,43.762
16844.299,45.594
16878.501,44.699
16912.773,43.511
16947.115,45.591
16981.526,43.497
17016.007,44.112
17050.558,42.306
17085.179,42.879
17119.870,41.650
17154.632,44.342
17189.464,40.867
17224.368,43.997
17259.342,42.433
17294.387,44.605
17329.503,43.925
17364.690,45.630
17399.949,43.879
17435.280,40.187
17470.682,42.588
17506.156,40.813
17541.703,41.852
17577.321,45.092
17613.012,43.687
17648.775,41.542
17684.611,41.031
17720.519,42.699
17756.501,40.693
17792.555,41.558
17828.683,43.124
17864.884,44.466
17901.159,43.585
17937.507,38.938
17973.929,43.084
18010.425,42.705
18046.995,43.245
18083.640,45.162
18120.358,39.267
18157.152,41.616
18194.020,43.500
18230.963,40.017
18267.981,44.902
18305.074,43.123
18342.242,43.881
