Frequency_Hz,Level_dBuV
9000.0,40.46
10184.9,38.01
11369.7,40.31
12554.6,40.25
13739.5,35.60
14924.4,36.29
16109.2,38.17
17294.1,37.26
18479.0,37.48
19663.9,36.01
20848.7,38.40
22033.6,38.06
23218.5,36.81
24403.4,38.23
25588.2,37.07
26773.1,34.92
27958.0,36.62
29142.9,34.48
30327.7,37.10
31512.6,35.57
32697.5,35.24
33882.4,34.37
35067.2,37.11
36252.1,34.93
37437.0,34.41
38621.8,34.41
39806.7,35.63
40991.6,35.28
42176.5,35.25
43361.3,35.18
44546.2,37.66
45731.1,33.74
46916.0,33.50
48100.8,32.96
49285.7,35.02
50470.6,35.70
51655.5,33.76
52840.3,32.59
54025.2,32.54
55210.1,34.67
56395.0,34.74
57579.8,34.37
58764.7,32.48
59949.6,33.76
61134.5,33.52
62319.3,33.60
63504.2,34.52
64689.1,33.48
65873.9,34.10
67058.8,33.12
68243.7,33.40
69428.6,33.85
70613.4,30.66
71798.3,32.31
72983.2,32.02
74168.1,31.71
75352.9,32.20
76537.8,34.81
77722.7,31.21
78907.6,33.91
80092.4,29.88
81277.3,31.85
82462.2,32.55
83647.1,33.13
84831.9,33.27
86016.8,33.35
87201.7,31.59
88386.6,31.37
89571.4,33.30
90756.3,31.68
91941.2,30.01
93126.1,30.18
94310.9,30.46
95495.8,32.54
96680.7,31.96
97865.5,32.74
99050.4,31.03
100235.3,31.86
101420.2,32.52
102605.0,31.08
103789.9,32.19
104974.8,30.47
106159.7,30.88
107344.5,30.82
108529.4,29.56
109714.3,32.04
110899.2,30.57
112084.0,31.26
113268.9,31.92
114453.8,31.83
115638.7,32.13
116823.5,30.95
118008.4,30.42
119193.3,30.90
120378.2,28.46
121563.0,28.78
122747.9,28.94
123932.8,29.39
125117.6,31.46
126302.5,29.46
127487.4,30.22
128672.3,32.71
129857.1,30.19
131042.0,45.43
132226.9,29.26
133411.8,30.32
134596.6,29.18
135781.5,30.06
136966.4,31.80
138151.3,27.92
139336.1,31.13
140521.0,30.81
141705.9,29.53
142890.8,28.22
144075.6,30.47
145260.5,29.54
146445.4,30.66
147630.3,30.31
148815.1,32.66
150000.0,29.87
150000.0,28.69
152005.1,30.45
154037.1,30.46
