Frequency_Hz,Level_dBuA_m
9000.0,34.46
9247.5,35.47
9501.8,32.98
9763.1,35.55
10031.6,34.07
10307.5,36.02
10591.0,31.70
10882.2,33.56
11181.5,32.41
11489.0,33.37
11805.0,34.59
12129.6,34.01
12463.2,33.85
12805.9,33.89
13158.1,34.25
13520.0,32.73
13891.8,34.72
14273.8,34.59
14666.4,34.19
15069.7,34.32
15484.1,33.94
15909.9,35.96
16347.5,33.34
16797.1,33.01
17259.0,32.40
17733.6,31.99
18221.3,31.67
18722.4,32.02
19237.3,32.94
19766.3,33.35
20309.9,32.94
20868.5,31.89
21442.4,33.82
22032.1,33.55
22638.0,32.40
23260.5,31.74
23900.2,33.11
24557.5,32.61
25232.8,30.58
25926.8,32.16
26639.8,32.49
27372.4,31.02
28125.2,32.26
28898.6,30.21
29693.4,33.49
30510.0,33.32
31349.0,31.45
32211.1,32.11
33097.0,28.71
34007.2,30.15
34942.4,31.11
35903.3,30.11
36890.7,32.18
37905.2,33.65
38947.7,29.77
40018.8,30.11
41119.3,31.32
42250.1,32.90
43412.0,29.43
44605.9,31.13
45832.6,32.94
47093.1,28.71
48388.2,29.08
49718.9,30.04
51086.2,29.85
52491.1,31.38
53934.7,30.62
55417.9,28.13
56941.9,30.81
58507.9,29.43
60116.9,31.58
61770.2,29.23
63468.9,29.15
65214.4,30.49
67007.8,30.68
68850.6,30.24
70744.1,27.60
72689.6,30.20
74688.6,28.24
76742.6,29.70
78853.1,27.64
81021.6,29.81
83249.8,28.24
85539.2,27.59
87891.6,29.92
90308.7,29.28
92792.3,28.18
95344.2,30.59
97966.2,28.25
100660.4,28.75
103428.6,28.96
106273.0,27.82
109195.6,29.06
112198.6,27.79
115284.2,27.86
118454.6,29.92
121712.2,26.96
125059.4,25.25
128498.6,30.01
132032.4,31.06
135663.4,27.44
139394.3,25.54
143227.8,27.42
147166.7,27.38
151213.9,27.42
155372.4,26.24
159645.3,28.20
164035.7,28.07
168546.8,25.57
173182.0,28.13
177944.6,29.69
182838.3,27.36
187866.5,26.68
193033.0,26.84
198341.5,27.68
203796.1,24.79
209400.7,27.00
215159.4,26.26
221076.5,28.88
227156.2,26.38
233403.2,28.52
239822.0,25.12
246417.4,27.08
253194.1,26.69
260157.1,25.19
267311.7,26.38
274663.0,27.55
282216.4,25.63
289977.6,23.92
297952.3,25.86
306146.2,24.73
314565.5,25.33
323216.4,25.57
332105.1,23.55
341238.3,23.59
350622.6,26.03
360265.1,24.76
370172.7,22.24
380352.7,26.19
390812.8,25.50
401560.5,24.25
412603.7,23.45
423950.7,25.96
435609.7,25.31
447589.4,27.68
459898.5,25.25
472546.1,25.14
485541.5,24.41
498894.3,25.52
512614.4,25.22
526711.7,25.90
541196.8,23.70
556080.1,23.73
571372.8,23.61
587086.1,25.06
603231.5,25.84
619820.9,23.42
636866.5,23.39
