Frequency_Hz,Level_dBuV_m
30000000.0,23.87
30278706.6,24.64
30560002.3,24.28
30843911.4,24.15
31130458.1,24.74
31419666.9,26.51
31711562.4,26.93
32006169.8,24.78
32303514.1,27.03
32603620.8,25.18
32906515.5,26.91
33212224.2,25.08
33520773.1,25.32
33832188.4,25.57
34146496.8,28.40
34463725.2,26.09
34783900.7,24.55
35107050.8,26.24
35433202.9,24.93
35762385.1,24.82
36094625.5,26.23
36429952.4,25.37
36768394.6,25.63
37109981.1,25.38
37454740.9,25.72
37802703.6,25.83
38153899.0,23.48
38508357.0,26.10
38866108.1,24.47
39227182.7,24.02
39591611.8,25.42
39959426.5,25.58
40330658.3,24.82
40705338.9,26.36
41083500.4,24.20
41465175.1,25.16
41850395.6,24.99
42239194.9,25.55
42631606.3,25.89
43027663.2,24.62
43427399.6,26.37
43830849.6,25.72
44238047.8,23.78
44649028.9,23.73
45063828.1,25.69
45482480.9,25.50
45905023.1,25.64
46331490.8,25.73
46761920.5,26.00
47196348.9,26.73
47634813.3,24.69
48077351.1,24.65
48524000.2,24.74
48974798.8,26.14
49429785.4,27.11
49888998.9,25.45
50352478.5,23.40
50820264.1,24.21
51292395.4,25.10
51768913.0,25.39
52249857.5,25.56
52735270.1,26.02
53225192.2,25.68
53719665.9,27.06
54218733.3,25.35
54722437.2,25.18
55230820.6,26.54
55743927.0,24.54
56261800.2,26.48
56784484.6,26.21
57312024.9,25.98
57844466.1,27.73
58381853.8,25.53
58924234.0,28.23
59471653.0,25.96
60024157.6,24.93
60581795.2,26.29
61144613.3,25.16
61712660.1,25.50
62285984.2,26.67
62864634.6,26.84
63448660.7,25.68
64038112.7,27.30
64633040.7,27.49
65233495.8,27.79
65839529.2,26.89
66451192.8,27.74
67068538.9,24.52
67691620.2,26.10
68320490.2,25.56
68955202.4,26.57
69595811.3,25.89
70242371.6,26.31
70894938.6,28.38
71553568.0,26.34
72218316.3,26.94
72889240.2,26.31
73566397.2,26.63
74249845.1,26.58
74939642.4,27.04
75635848.0,27.77
76338521.5,28.27
77047723.1,26.95
77763513.2,27.24
78485953.3,25.52
79215104.9,26.60
79951030.5,27.64
80693793.1,27.58
81443456.0,26.95
82200083.5,27.64
82963740.2,27.26
83734491.5,27.98
84512403.2,27.09
85297541.9,26.46
86089974.7,27.17
86889769.3,23.92
87696994.3,27.25
88511718.5,23.23
89334011.7,25.17
90163944.1,27.36
91001586.9,27.41
91847011.5,25.78
92700290.3,26.25
93561496.2,28.35
94430702.9,26.51
95307984.8,29.25
96193416.8,27.02
97087074.6,27.45
97989034.7,28.67
98899374.3,27.20
99818171.1,26.09
100745503.7,26.99
101681451.4,27.08
102626094.3,25.77
103579513.1,26.90
104541789.4,26.43
105513005.4,28.11
106493244.3,27.24
107482589.8,26.93
108481126.5,27.13
109488939.9,27.47
110506116.0,27.88
111532742.0,26.28
112568905.5,26.26
113614695.2,28.42
114670200.5,26.92
115735511.7,25.93
116810719.9,27.81
117895917.0,27.84
118991195.8,25.86
120096650.0,27.64
121212374.1,28.16
122338463.5,27.82
123475014.6,28.09
124622124.4,26.07
125779891.2,27.82
126948413.8,27.20
128127792.3,27.04
129318127.5,28.41
130519521.1,29.03
131732075.9,29.36
132955895.7,28.90
134191085.0,27.49
135437749.5,27.97
136695995.7,28.40
137965931.4,27.77
139247665.0,27.80
140541306.2,28.51
141846965.6,27.64
143164754.9,26.99
144494786.8,27.32
145837174.9,28.38
147192034.1,27.77
148559480.2,28.12
149939630.2,28.47
151332602.1,27.44
152738515.0,28.58
154157489.2,28.22
155589645.9,26.62
157035107.7,29.32
158493998.1,27.39
159966442.0,26.25
161452565.2,26.88
162952494.7,26.92
164466359.0,28.01
165994287.4,27.70
167536410.6,27.65
169092860.4,28.62
170663770.0,28.36
172249273.7,28.35
173849507.0,28.46
175464606.9,28.68
177094711.4,25.98
178739960.0,27.74
180400493.2,25.94
182076453.2,28.17
183767983.2,28.14
185475227.9,29.21
187198333.3,29.37
188937446.6,28.40
190692716.8,27.71
192464293.7,28.71
194252329.1,27.72
196056975.6,28.26
197878387.7,29.26
199716721.2,27.74
201572133.1,29.11
203444782.2,29.00
205334828.7,27.39
207242434.1,29.33
209167761.5,29.07
211110975.7,28.49
213072242.8,27.64
215051730.4,27.56
217049608.0,27.90
219066046.2,29.00
221101217.6,27.51
223155296.2,28.92
225228457.6,27.26
227320879.2,28.31
229432739.8,28.64
231564220.0,31.00
233715502.2,27.19
235886770.2,30.05
238078209.8,28.75
240290008.4,29.03
242522355.0,28.75
244775440.6,29.09
247049457.9,28.51
249344601.3,30.13
251661067.1,28.24
253999053.4,29.84
256358760.1,28.08
258740388.9,28.68
261144143.6,27.69
263570229.7,29.23
266018854.7,30.24
268490228.0,28.73
270984560.8,28.63
273502066.5,27.72
276042960.5,28.63
278607459.8,27.28
281195784.0,27.97
283808154.2,29.13
286444793.9,30.24
289105928.6,31.74
291791785.8,28.37
294502595.2,30.40
297238588.6,29.23
300000000.0,28.85
